Date,DailyReturn
2025-01-03,0.006501
2025-01-06,-0.001503
2025-01-07,-0.005549
2025-01-08,0.000274
2025-01-10,-0.011476
2025-01-13,-0.003725
2025-01-14,0.001550
2025-01-15,0.008199
2025-01-16,-0.003506
2025-01-17,0.008670
2025-01-21,0.008478
2025-01-22,0.004805
2025-01-23,0.010028
2025-01-24,0.001109
2025-01-27,0.012665
2025-01-28,0.005773
2025-01-29,0.000602
2025-01-30,0.013820
2025-01-31,-0.005447
2025-02-03,0.004451
2025-02-04,0.006398
2025-02-05,0.002802
2025-02-06,-0.007667
2025-02-07,-0.010248
2025-02-10,0.004643
2025-02-11,0.001801
2025-02-12,0.002773
2025-02-13,0.010750
2025-02-14,-0.003080
2025-02-18,0.002203
2025-02-19,0.002965
2025-02-20,-0.016485
2025-02-21,-0.014051
2025-02-24,0.000391
2025-02-25,0.005582
2025-02-26,-0.003011
2025-02-27,-0.006576
2025-02-28,0.014210
2025-03-03,-0.011123
2025-03-04,-0.017633
2025-03-05,0.006345
2025-03-06,-0.016757
2025-03-07,0.002322
2025-03-10,-0.024974
2025-03-11,-0.018353
2025-03-12,-0.000875
2025-03-13,-0.015931
2025-03-14,0.015348
2025-03-17,0.009804
2025-03-18,-0.009027
2025-03-19,0.009760
2025-03-20,-0.007048
2025-03-21,0.001362
2025-03-24,0.014738
2025-03-25,-0.000730
2025-03-26,-0.004023
2025-03-27,0.000029
2025-03-28,-0.017194
2025-03-31,0.012738
